dim_1,dim_2,gene,0,1
23.0,422.0,CD14,9.085995085995085,437.2948402948403
23.0,1729.0,CD14,17.416184971098264,1711.4682080924856
23.0,1732.0,CD14,17.416184971098264,1711.4682080924856
23.0,1881.0,CD11c,34.39081632653061,1878.0724489795919
23.0,1917.0,CD14,19.70689655172414,1899.9806034482758
24.0,415.0,CD14,37.767133956386296,399.00233644859816
24.0,1021.0,CD14,27.616803278688526,1041.532786885246
24.0,1226.0,CD11c,32.19426048565121,1234.0971302428256
24.0,1235.0,CD14,32.19426048565121,1234.0971302428256
25.0,1884.0,CD11c,34.39081632653061,1878.0724489795919
26.0,993.0,CD14,56.510222222222225,1015.8746666666667
27.0,531.0,SLA-DRB1,24.74700598802395,546.6811377245509
27.0,1756.0,CD14,23.10912343470483,1774.8014311270126
28.0,576.0,CD11c,59.33830275229358,566.4254587155963
28.0,917.0,CD14,18.135280553420447,918.3289777094543
28.0,932.0,CD14,18.135280553420447,918.3289777094543
29.0,833.0,CD14,35.794376098418276,824.8611599297012
29.0,1393.0,SLA-DRB1,52.485175202156334,1332.066037735849
29.0,1401.0,SLA-DRB1,52.485175202156334,1332.066037735849
30.0,1376.0,CD11c,52.485175202156334,1332.066037735849
31.0,836.0,CD14,35.794376098418276,824.8611599297012
31.0,1722.0,CD14,17.416184971098264,1711.4682080924856
32.0,681.0,SLA-DRB1,22.169811320754718,676.3169811320755
33.0,422.0,CD14,37.767133956386296,399.00233644859816
33.0,428.0,CD14,9.085995085995085,437.2948402948403
33.0,628.0,CD14,13.754491017964073,625.5928143712575
33.0,667.0,SLA-DRB1,45.64969450101833,661.0142566191446
33.0,1453.0,CD11c,15.661596958174904,1444.2699619771863
33.0,1767.0,CD14,23.10912343470483,1774.8014311270126
33.0,1886.0,CD11c,34.39081632653061,1878.0724489795919
34.0,1342.0,SLA-DRB1,52.485175202156334,1332.066037735849
34.0,1729.0,CD14,17.416184971098264,1711.4682080924856
34.0,1866.0,CD11c,34.39081632653061,1878.0724489795919
35.0,696.0,CD11c,57.50884086444008,696.7426326129666
35.0,1450.0,CD11c,15.661596958174904,1444.2699619771863
36.0,1724.0,CD14,17.416184971098264,1711.4682080924856
36.0,1803.0,CD11c,48.43031784841076,1808.9070904645478
37.0,409.0,CD14,37.767133956386296,399.00233644859816
37.0,439.0,SLA-DRB1,9.085995085995085,437.2948402948403
37.0,908.0,CD14,18.135280553420447,918.3289777094543
37.0,1015.0,CD11c,56.510222222222225,1015.8746666666667
38.0,584.0,CD11c,59.33830275229358,566.4254587155963
38.0,591.0,CD11c,59.33830275229358,566.4254587155963
38.0,714.0,CD11c,34.495555555555555,727.2266666666667
38.0,1225.0,SLA-DRB1,32.19426048565121,1234.0971302428256
38.0,1351.0,CD14,52.485175202156334,1332.066037735849
39.0,402.0,CD14,37.767133956386296,399.00233644859816
39.0,431.0,SLA-DRB1,9.085995085995085,437.2948402948403
39.0,683.0,SLA-DRB1,22.169811320754718,676.3169811320755
39.0,735.0,CD14,34.495555555555555,727.2266666666667
39.0,1322.0,CD14,52.485175202156334,1332.066037735849
39.0,1449.0,CD11c,15.661596958174904,1444.2699619771863
40.0,815.0,CD14,35.794376098418276,824.8611599297012
40.0,818.0,CD14,35.794376098418276,824.8611599297012
40.0,913.0,CD14,18.135280553420447,918.3289777094543
40.0,1018.0,CD11c,56.510222222222225,1015.8746666666667
40.0,1228.0,CD11c,32.19426048565121,1234.0971302428256
40.0,1345.0,SLA-DRB1,52.485175202156334,1332.066037735849
41.0,563.0,CD11c,59.33830275229358,566.4254587155963
41.0,835.0,CD14,35.794376098418276,824.8611599297012
41.0,1875.0,CD11c,34.39081632653061,1878.0724489795919
42.0,584.0,CD11c,59.33830275229358,566.4254587155963
42.0,587.0,CD11c,59.33830275229358,566.4254587155963
42.0,687.0,CD14,57.50884086444008,696.7426326129666
42.0,892.0,CD14,18.135280553420447,918.3289777094543
42.0,908.0,CD14,18.135280553420447,918.3289777094543
42.0,1070.0,CD11c,56.87581699346405,1052.8366013071895
42.0,1351.0,CD14,52.485175202156334,1332.066037735849
42.0,1404.0,CD14,52.485175202156334,1332.066037735849
42.0,1856.0,CD11c,34.39081632653061,1878.0724489795919
43.0,627.0,CD14,45.64969450101833,661.0142566191446
43.0,664.0,SLA-DRB1,45.64969450101833,661.0142566191446
43.0,678.0,SLA-DRB1,45.64969450101833,661.0142566191446
43.0,904.0,CD14,18.135280553420447,918.3289777094543
43.0,1320.0,CD14,52.485175202156334,1332.066037735849
43.0,1329.0,CD14,52.485175202156334,1332.066037735849
43.0,1333.0,CD11c,52.485175202156334,1332.066037735849
44.0,402.0,CD14,37.767133956386296,399.00233644859816
44.0,580.0,CD11c,59.33830275229358,566.4254587155963
44.0,922.0,SLA-DRB1,18.135280553420447,918.3289777094543
45.0,1022.0,CD11c,56.510222222222225,1015.8746666666667
45.0,1879.0,CD11c,34.39081632653061,1878.0724489795919
46.0,441.0,CD14,9.085995085995085,437.2948402948403
46.0,620.0,CD14,62.5959595959596,600.2222222222222
46.0,657.0,CD94,45.64969450101833,661.0142566191446
46.0,897.0,CD14,18.135280553420447,918.3289777094543
46.0,1064.0,CD11c,56.87581699346405,1052.8366013071895
46.0,1326.0,CD14,52.485175202156334,1332.066037735849
